customer_id,customer_name,email,city
C001,  Aisha Khan ,AISHA.KHAN@EXAMPLE.COM ,Mumbai
C002,Rahul Mehta,rahul.mehta@example.com,Bengaluru
C003,Neha Sharma,neha.sharma@example.com,Delhi
C003,Neha Sharma,neha.sharma@example.com,Delhi
C004,Arjun Rao,arjun.rao@example.com,Chennai
C1000,Customer 1000,customer1000@example.com,Bengaluru
C1001,Customer 1001,customer1001@example.com,Mumbai
C1002,Customer 1002,customer1002@example.com,Hyderabad
C1003,Customer 1003,customer1003@example.com,Chennai
C1004,Customer 1004,customer1004@example.com,Chennai
C1005,Customer 1005,customer1005@example.com,Delhi
C1006,Customer 1006,customer1006@example.com,Bengaluru
C1007,Customer 1007,customer1007@example.com,Bengaluru
C1008,Customer 1008,customer1008@example.com,Kolkata
C1009,Customer 1009,customer1009@example.com,Mumbai
C1010,Customer 1010,customer1010@example.com,Mumbai
C1011,Customer 1011,customer1011@example.com,Bengaluru
C1012,Customer 1012,customer1012@example.com,Chennai
C1013,Customer 1013,customer1013@example.com,Chennai
C1014,Customer 1014,customer1014@example.com,Mumbai
C1015,Customer 1015,customer1015@example.com,Chennai
C1016,Customer 1016,customer1016@example.com,Kolkata
C1017,Customer 1017,customer1017@example.com,Chennai
C1018,Customer 1018,customer1018@example.com,Ahmedabad
C1019,Customer 1019,customer1019@example.com,Hyderabad
C1020,Customer 1020,customer1020@example.com,Mumbai
C1021,Customer 1021,customer1021@example.com,Delhi
C1022,Customer 1022,customer1022@example.com,Kolkata
C1023,Customer 1023,customer1023@example.com,Pune
C1024,Customer 1024,customer1024@example.com,Hyderabad
C1025,Customer 1025,customer1025@example.com,Delhi
C1026,Customer 1026,customer1026@example.com,Chennai
C1027,Customer 1027,customer1027@example.com,Pune
C1028,Customer 1028,customer1028@example.com,Bengaluru
C1029,Customer 1029,customer1029@example.com,Bengaluru
C1030,Customer 1030,customer1030@example.com,Kolkata
C1031,Customer 1031,customer1031@example.com,Bengaluru
C1032,Customer 1032,customer1032@example.com,Pune
C1033,Customer 1033,customer1033@example.com,Pune
C1034,Customer 1034,customer1034@example.com,Hyderabad
C1035,Customer 1035,customer1035@example.com,Mumbai
C1036,Customer 1036,customer1036@example.com,Ahmedabad
C1037,Customer 1037,customer1037@example.com,Bengaluru
C1038,Customer 1038,customer1038@example.com,Kolkata
C1039,Customer 1039,customer1039@example.com,Bengaluru
C1040,Customer 1040,customer1040@example.com,Hyderabad
C1041,Customer 1041,customer1041@example.com,Pune
C1042,Customer 1042,customer1042@example.com,Chennai
C1043,Customer 1043,customer1043@example.com,Bengaluru
C1044,Customer 1044,customer1044@example.com,Mumbai
C1045,Customer 1045,customer1045@example.com,Chennai
C1046,Customer 1046,customer1046@example.com,Hyderabad
C1047,Customer 1047,customer1047@example.com,Bengaluru
C1048,Customer 1048,customer1048@example.com,Chennai
C1049,Customer 1049,customer1049@example.com,Bengaluru
C1050,Customer 1050,customer1050@example.com,Kolkata
C1051,Customer 1051,customer1051@example.com,Hyderabad
C1052,Customer 1052,customer1052@example.com,Ahmedabad
C1053,Customer 1053,customer1053@example.com,Pune
C1054,Customer 1054,customer1054@example.com,Delhi
C1055,Customer 1055,customer1055@example.com,Pune
C1056,Customer 1056,customer1056@example.com,Pune
C1057,Customer 1057,customer1057@example.com,Chennai
C1058,Customer 1058,customer1058@example.com,Hyderabad
C1059,Customer 1059,customer1059@example.com,Bengaluru
C1060,Customer 1060,customer1060@example.com,Delhi
C1061,Customer 1061,customer1061@example.com,Chennai
C1062,Customer 1062,customer1062@example.com,Delhi
C1063,Customer 1063,customer1063@example.com,Ahmedabad
C1064,Customer 1064,customer1064@example.com,Kolkata
C1065,Customer 1065,customer1065@example.com,Hyderabad
C1066,Customer 1066,customer1066@example.com,Chennai
C1067,Customer 1067,customer1067@example.com,Pune
C1068,Customer 1068,customer1068@example.com,Mumbai
C1069,Customer 1069,customer1069@example.com,Chennai
C1070,Customer 1070,customer1070@example.com,Mumbai
C1071,Customer 1071,customer1071@example.com,Pune
C1072,Customer 1072,customer1072@example.com,Kolkata
C1073,Customer 1073,customer1073@example.com,Hyderabad
C1074,Customer 1074,customer1074@example.com,Bengaluru
C1075,Customer 1075,customer1075@example.com,Chennai
C1076,Customer 1076,customer1076@example.com,Pune
C1077,Customer 1077,customer1077@example.com,Chennai
C1078,Customer 1078,customer1078@example.com,Ahmedabad
C1079,Customer 1079,customer1079@example.com,Kolkata
C1080,Customer 1080,customer1080@example.com,Ahmedabad
C1081,Customer 1081,customer1081@example.com,Delhi
C1082,Customer 1082,customer1082@example.com,Hyderabad
C1083,Customer 1083,customer1083@example.com,Delhi
C1084,Customer 1084,customer1084@example.com,Chennai
C1085,Customer 1085,customer1085@example.com,Hyderabad
C1086,Customer 1086,customer1086@example.com,Kolkata
C1087,Customer 1087,customer1087@example.com,Kolkata
C1088,Customer 1088,customer1088@example.com,Pune
C1089,Customer 1089,customer1089@example.com,Chennai
C1090,Customer 1090,customer1090@example.com,Delhi
C1091,Customer 1091,customer1091@example.com,Ahmedabad
C1092,Customer 1092,customer1092@example.com,Bengaluru
C1093,Customer 1093,customer1093@example.com,Mumbai
C1094,Customer 1094,customer1094@example.com,Bengaluru
C1095,Customer 1095,customer1095@example.com,Delhi
C1096,Customer 1096,customer1096@example.com,Delhi
C1097,Customer 1097,customer1097@example.com,Kolkata
C1098,Customer 1098,customer1098@example.com,Bengaluru
C1099,Customer 1099,customer1099@example.com,Kolkata
C1100,Customer 1100,customer1100@example.com,Kolkata
C1101,Customer 1101,customer1101@example.com,Ahmedabad
C1102,Customer 1102,customer1102@example.com,Hyderabad
C1103,Customer 1103,customer1103@example.com,Mumbai
C1104,Customer 1104,customer1104@example.com,Bengaluru
C1105,Customer 1105,customer1105@example.com,Hyderabad
C1106,Customer 1106,customer1106@example.com,Pune
C1107,Customer 1107,customer1107@example.com,Bengaluru
C1108,Customer 1108,customer1108@example.com,Hyderabad
C1109,Customer 1109,customer1109@example.com,Kolkata
C1110,Customer 1110,customer1110@example.com,Delhi
C1111,Customer 1111,customer1111@example.com,Ahmedabad
C1112,Customer 1112,customer1112@example.com,Mumbai
C1113,Customer 1113,customer1113@example.com,Hyderabad
C1114,Customer 1114,customer1114@example.com,Delhi
C1115,Customer 1115,customer1115@example.com,Bengaluru
C1116,Customer 1116,customer1116@example.com,Hyderabad
C1117,Customer 1117,customer1117@example.com,Chennai
C1118,Customer 1118,customer1118@example.com,Delhi
C1119,Customer 1119,customer1119@example.com,Pune
C1120,Customer 1120,customer1120@example.com,Delhi
C1121,Customer 1121,customer1121@example.com,Mumbai
C1122,Customer 1122,customer1122@example.com,Pune
C1123,Customer 1123,customer1123@example.com,Ahmedabad
C1124,Customer 1124,customer1124@example.com,Mumbai
C1125,Customer 1125,customer1125@example.com,Bengaluru
C1126,Customer 1126,customer1126@example.com,Pune
C1127,Customer 1127,customer1127@example.com,Hyderabad
C1128,Customer 1128,customer1128@example.com,Chennai
C1129,Customer 1129,customer1129@example.com,Mumbai
C1130,Customer 1130,customer1130@example.com,Chennai
C1131,Customer 1131,customer1131@example.com,Bengaluru
C1132,Customer 1132,customer1132@example.com,Bengaluru
C1133,Customer 1133,customer1133@example.com,Ahmedabad
C1134,Customer 1134,customer1134@example.com,Bengaluru
C1135,Customer 1135,customer1135@example.com,Delhi
C1136,Customer 1136,customer1136@example.com,Delhi
C1137,Customer 1137,customer1137@example.com,Ahmedabad
C1138,Customer 1138,customer1138@example.com,Delhi
C1139,Customer 1139,customer1139@example.com,Hyderabad
